Frequency	Log magnitude spectrum
10.766602	-41.500854
32.299805	-42.311558
53.833008	-50.063442
75.366211	-66.789619
96.899414	-49.716793 1
118.432617	-51.399345
139.965820	-59.627293
161.499023	-55.457275 2
183.032227	-57.650318
204.565430	-52.476383
226.098633	-34.134327
247.631836	-30.806982 3 
269.165039	-43.301445
290.698242	-60.584049
312.231445	-57.923893
333.764648	-64.320320
355.297852	-69.380356
376.831055	-58.996960
398.364258	-59.331577
419.897461	-55.919281
441.430664	-52.672276
462.963867	-41.092693
484.497070	-43.083420
506.030273	-57.140739
527.563477	-57.859596
549.096680	-53.706741
570.629883	-56.538380
592.163086	-76.766975
613.696289	-61.682995
635.229492	-65.734085
656.762695	-54.266918
678.295898	-59.577156
699.829102	-43.393517
721.362305	-48.792004
742.895508	-51.752239
764.428711	-61.651630
785.961914	-60.264919
807.495117	-56.112480
829.028320	-70.385185
850.561523	-57.281811
872.094727	-55.944969
893.627930	-47.864178
915.161133	-37.324211
936.694336	-39.310211
958.227539	-49.467831
979.760742	-50.497993
1001.293945	-46.737465
1022.827148	-51.221436
1044.360352	-65.191986
1065.893555	-63.911098
1087.426758	-51.199680
1108.959961	-46.097916
1130.493164	-40.535217
1152.026367	-34.315681
1173.559570	-31.685469
1195.092773	-53.711323
1216.625977	-47.606331
1238.159180	-56.840618
1259.692383	-55.237080
1281.225586	-60.306454
1302.758789	-62.598076
1324.291992	-59.152306
1345.825195	-57.332741
1367.358398	-41.640366
1388.891602	-34.738308
1410.424805	-40.517014
1431.958008	-63.088367
1453.491211	-58.017597
1475.024414	-56.466270
1496.557617	-56.183624
1518.090820	-55.305141
1539.624023	-58.260502
1561.157227	-56.939381
1582.690430	-50.484959
1604.223633	-51.106503
1625.756836	-40.238113
1647.290039	-47.754498
1668.823242	-51.118446
1690.356445	-55.959167
1711.889648	-58.797607
1733.422852	-55.101460
1754.956055	-58.307449
1776.489258	-69.120277
1798.022461	-45.298328
1819.555664	-44.447060
1841.088867	-41.375313
1862.622070	-32.745735
1884.155273	-40.235233
1905.688477	-71.874443
1927.221680	-60.536701
1948.754883	-64.628632
1970.288086	-54.243889
1991.821289	-56.217159
2013.354492	-77.060173
2034.887695	-71.141960
2056.420898	-56.991158
2077.954102	-56.376503
2099.487305	-60.246155
2121.020508	-61.602375
2142.553711	-64.840309
2164.086914	-63.717396
2185.620117	-60.967331
2207.153320	-69.040001
2228.686523	-68.204369
2250.219727	-61.483772
2271.752930	-62.895218
2293.286133	-63.555576
2314.819336	-57.502663
2336.352539	-58.648411
2357.885742	-64.562630
2379.418945	-67.944054
2400.952148	-68.769806
2422.485352	-71.418083
2444.018555	-81.317291
2465.551758	-70.475006
2487.084961	-77.825790
2508.618164	-66.157066
2530.151367	-72.773888
2551.684570	-62.332020
2573.217773	-77.391800
2594.750977	-67.690567
2616.284180	-70.027542
2637.817383	-74.895805
2659.350586	-78.933411
2680.883789	-77.415581
2702.416992	-83.473351
2723.950195	-71.552414
2745.483398	-72.919273
2767.016602	-72.429337
2788.549805	-70.262779
2810.083008	-71.764488
2831.616211	-73.998337
2853.149414	-73.470619
2874.682617	-74.329742
2896.215820	-73.860832
2917.749023	-87.995697
2939.282227	-76.596039
2960.815430	-69.886040
2982.348633	-70.784554
3003.881836	-75.910393
3025.415039	-73.219337
3046.948242	-79.605553
3068.481445	-79.044701
3090.014648	-74.231972
3111.547852	-74.624741
3133.081055	-77.671722
3154.614258	-79.319221
3176.147461	-75.533913
3197.680664	-84.368637
3219.213867	-84.099327
3240.747070	-80.069405
3262.280273	-77.060631
3283.813477	-75.128967
3305.346680	-79.619225
3326.879883	-88.493698
3348.413086	-76.280952
3369.946289	-73.150162
3391.479492	-84.014610
3413.012695	-82.945480
3434.545898	-77.606133
3456.079102	-81.670959
3477.612305	-90.801735
3499.145508	-83.484589
3520.678711	-79.020119
3542.211914	-80.605484
3563.745117	-87.705444
3585.278320	-84.415009
3606.811523	-84.708794
3628.344727	-90.327507
3649.877930	-88.247894
3671.411133	-82.714996
3692.944336	-76.536949
3714.477539	-77.336349
3736.010742	-91.467636
3757.543945	-79.589569
3779.077148	-83.921654
3800.610352	-85.622498
3822.143555	-79.240631
3843.676758	-91.276871
3865.209961	-84.054771
3886.743164	-74.042473
3908.276367	-73.930374
3929.809570	-71.063141
3951.342773	-71.814072
3972.875977	-76.743134
3994.409180	-73.227585
4015.942383	-75.823822
4037.475586	-83.628044
4059.008789	-81.389633
4080.541992	-82.033279
4102.075195	-78.426895
4123.608398	-82.893265
4145.141602	-80.162506
4166.674805	-71.297760
4188.208008	-79.997940
4209.741211	-78.304459
4231.274414	-84.213417
4252.807617	-81.042427
4274.340820	-80.963516
4295.874023	-87.906929
4317.407227	-84.836044
4338.940430	-74.322121
4360.473633	-77.796837
4382.006836	-86.561165
4403.540039	-74.290764
4425.073242	-72.654167
4446.606445	-80.205315
4468.139648	-78.544876
4489.672852	-83.118896
4511.206055	-78.033707
4532.739258	-80.336502
4554.272461	-87.277420
4575.805664	-77.762947
4597.338867	-80.576706
4618.872070	-75.957375
4640.405273	-73.785164
4661.938477	-78.858093
4683.471680	-76.039040
4705.004883	-79.751167
4726.538086	-78.943146
4748.071289	-79.699463
4769.604492	-81.451569
4791.137695	-84.094139
4812.670898	-80.184746
4834.204102	-79.210121
4855.737305	-73.457771
4877.270508	-77.937523
4898.803711	-77.107681
4920.336914	-77.359657
4941.870117	-75.773941
4963.403320	-74.087639
4984.936523	-88.527435
5006.469727	-82.982018
5028.002930	-80.516190
5049.536133	-78.533592
5071.069336	-78.734070
5092.602539	-74.517059
5114.135742	-73.204796
5135.668945	-81.992752
5157.202148	-81.796509
5178.735352	-91.278000
5200.268555	-98.126846
5221.801758	-86.911667
5243.334961	-88.244797
5264.868164	-95.028481
5286.401367	-81.902748
5307.934570	-79.605209
5329.467773	-77.114960
5351.000977	-80.553383
5372.534180	-115.372169
5394.067383	-86.639114
5415.600586	-83.813393
5437.133789	-79.810738
5458.666992	-84.660545
5480.200195	-83.028465
5501.733398	-77.104752
5523.266602	-76.591904
5544.799805	-78.105484
5566.333008	-77.409615
5587.866211	-85.836693
5609.399414	-96.292091
5630.932617	-100.392128
5652.465820	-91.964928
5673.999023	-85.124596
5695.532227	-86.756546
5717.065430	-90.905785
5738.598633	-80.239853
5760.131836	-77.082031
5781.665039	-76.775414
5803.198242	-77.012726
5824.731445	-90.439247
5846.264648	-80.928383
5867.797852	-80.459007
5889.331055	-81.303192
5910.864258	-100.389000
5932.397461	-87.648750
5953.930664	-88.319588
5975.463867	-88.605797
5996.997070	-82.097366
6018.530273	-78.735817
6040.063477	-85.841713
6061.596680	-90.000435
6083.129883	-89.019844
6104.663086	-93.466881
6126.196289	-90.596169
6147.729492	-92.522980
6169.262695	-92.561707
6190.795898	-104.320488
6212.329102	-90.332062
6233.862305	-85.408966
6255.395508	-85.175941
6276.928711	-89.025368
6298.461914	-102.283493
6319.995117	-93.552017
6341.528320	-103.474419
6363.061523	-95.938095
6384.594727	-95.236115
6406.127930	-99.616997
6427.661133	-100.180817
6449.194336	-95.354378
6470.727539	-98.731934
6492.260742	-95.409401
6513.793945	-102.551903
6535.327148	-93.925278
6556.860352	-90.795975
6578.393555	-90.503700
6599.926758	-93.768204
6621.459961	-93.697289
6642.993164	-95.518166
6664.526367	-100.852417
6686.059570	-98.124626
6707.592773	-91.316536
6729.125977	-95.202553
6750.659180	-97.316544
6772.192383	-103.273636
6793.725586	-93.719910
6815.258789	-95.584373
6836.791992	-92.633904
6858.325195	-89.637390
6879.858398	-98.452728
6901.391602	-94.701538
6922.924805	-96.380974
6944.458008	-94.482300
6965.991211	-93.252541
6987.524414	-108.647423
7009.057617	-94.456482
7030.590820	-93.770042
7052.124023	-99.476494
7073.657227	-109.479858
7095.190430	-100.998627
7116.723633	-102.152451
7138.256836	-95.367683
7159.790039	-97.159531
7181.323242	-97.263496
7202.856445	-110.625519
7224.389648	-109.192558
7245.922852	-105.028297
7267.456055	-100.879982
7288.989258	-102.439148
7310.522461	-97.984634
7332.055664	-100.032150
7353.588867	-97.809410
7375.122070	-98.336304
7396.655273	-101.889503
7418.188477	-107.551170
7439.721680	-107.512138
7461.254883	-101.441734
7482.788086	-104.298180
7504.321289	-101.786041
7525.854492	-102.901405
7547.387695	-110.940216
7568.920898	-107.928665
7590.454102	-102.023834
7611.987305	-102.283333
7633.520508	-117.343430
7655.053711	-109.358894
7676.586914	-102.225365
7698.120117	-102.168175
7719.653320	-105.274796
7741.186523	-113.787308
7762.719727	-109.212563
7784.252930	-119.685509
7805.786133	-112.590012
7827.319336	-104.663513
7848.852539	-104.941391
7870.385742	-106.069351
7891.918945	-105.204613
7913.452148	-121.600174
7934.985352	-115.270920
7956.518555	-112.159218
7978.051758	-112.822960
7999.584961	-115.154312
8021.118164	-111.019119
8042.651367	-103.515045
8064.184570	-114.660454
8085.717773	-107.254532
8107.250977	-122.395287
8128.784180	-125.877342
8150.317383	-105.468018
8171.850586	-112.945892
8193.383789	-117.553940
8214.916992	-109.156952
8236.450195	-108.590927
8257.983398	-108.521530
8279.516602	-106.517914
8301.049805	-112.304321
8322.583008	-112.210251
8344.116211	-107.975655
8365.649414	-101.896423
8387.182617	-108.418625
8408.715820	-108.673401
8430.249023	-113.125565
8451.782227	-123.964157
8473.315430	-109.506828
8494.848633	-103.865776
8516.381836	-111.149765
8537.915039	-108.379936
8559.448242	-114.140625
8580.981445	-108.301582
8602.514648	-105.856010
8624.047852	-100.084198
8645.581055	-106.934990
8667.114258	-103.831360
8688.647461	-116.279327
8710.180664	-110.024582
8731.713867	-114.468323
8753.247070	-118.203751
8774.780273	-104.351700
8796.313477	-115.587990
8817.846680	-113.839935
8839.379883	-118.433403
8860.913086	-106.802994
8882.446289	-116.726990
8903.979492	-117.602287
8925.512695	-107.230698
8947.045898	-111.883492
8968.579102	-103.656532
8990.112305	-110.419350
9011.645508	-108.473373
9033.178711	-117.167068
9054.711914	-121.756210
9076.245117	-107.439919
9097.778320	-122.519447
9119.311523	-116.315262
9140.844727	-114.445847
9162.377930	-106.396469
9183.911133	-106.387344
9205.444336	-107.351784
9226.977539	-108.456573
9248.510742	-111.809372
9270.043945	-113.711906
9291.577148	-111.381668
9313.110352	-129.295609
9334.643555	-110.147827
9356.176758	-114.537941
9377.709961	-110.938187
9399.243164	-111.039642
9420.776367	-107.798927
